	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40
12	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	1	0	2960	1	0	0
8	1	1	0	2	0	0	1	1	1	2	0	2	1	3	1	0	0	0	3	1	3	1	1	0	0	1	0	4	1	1	3	0	2	0	1	1	1	2437	1	1
18	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2697	0
42	1	0	1	0	0	0	3	1	2	4	2	3	0	1	1	0	0	0	1	3	3	4	2	2	1	1	4	0	3	1	3	0	1	3	3	2	2	2	1	2552
9	16	5	16	11	45	12	8	9	9	13	10	9	8	16	13	11	10	20	7	14	16	11	14	4	15	17	10	13	8	10	11	3	9	17	13	7	8	13	87	5
16	9	7	4	4	4	11	13	5	10	15	3	13	4	11	6	7	4	10	10	11	11	6	14	2	8	12	7	13	2	8	13	8	7	6	11	9	8	16	7	9
29	9	8	6	7	10	100	9	18	8	17	7	6	9	17	11	9	9	10	11	8	15	9	11	8	17	11	19	15	6	16	16	11	53	13	12	9	17	17	20	5
39	2	2	2	4	6	5	4	5	1	2	4	5	9	4	9	1	10	9	6	4	8	5	8	4	3	6	4	5	3	4	7	5	3	3	4	9	6	2	2	8
45	4	7	3	1	2	2	4	1	6	2	1	2	0	2	0	0	3	0	0	3	4	1	2	1	2	4	2	2	1	2	5	1	2	4	4	5	1	20	0	3
48	1	3	3	6	8	64	6	5	5	5	4	8	5	7	7	8	7	6	8	3	7	5	11	1	28	3	7	5	5	14	4	5	8	12	8	10	9	9	7	8
50	11	11	32	5	15	15	9	11	19	24	11	8	7	11	5	13	9	16	9	12	13	6	17	6	10	28	15	17	4	15	16	8	7	9	6	6	19	10	9	13
